Protein.stable.ID
ENSP00000359680
ENSP00000357838
ENSP00000244137
ENSP00000338461
ENSP00000402286
ENSP00000351015
ENSP00000497767
ENSP00000448059
ENSP00000343763
ENSP00000319062
ENSP00000376827
ENSP00000349297
ENSP00000233146
ENSP00000358903
ENSP00000333097
ENSP00000282516
ENSP00000256474
ENSP00000224140
ENSP00000219596
ENSP00000338766
ENSP00000367282
ENSP00000265838
ENSP00000216124
ENSP00000348564
ENSP00000385797
ENSP00000344666
ENSP00000477587
ENSP00000355739
ENSP00000264005
ENSP00000242592
ENSP00000242839
ENSP00000268097
ENSP00000305692
ENSP00000249806
ENSP00000351155
ENSP00000322280
ENSP00000496593
ENSP00000296589
ENSP00000477429
ENSP00000354720
ENSP00000297598
ENSP00000224721
ENSP00000355324
ENSP00000345719
ENSP00000284268
ENSP00000261024
ENSP00000496250
ENSP00000361310
ENSP00000342267
ENSP00000333142
ENSP00000498104
ENSP00000362464
ENSP00000304987
ENSP00000360761
ENSP00000495795
ENSP00000364699
ENSP00000297350
ENSP00000003084
ENSP00000321259
ENSP00000402030
ENSP00000359385
ENSP00000221283
ENSP00000373574
ENSP00000494686
ENSP00000443426
ENSP00000374467
ENSP00000369497
ENSP00000391676
ENSP00000363868
ENSP00000362413
ENSP00000339801
ENSP00000369274
ENSP00000218340
ENSP00000218516
ENSP00000298542
ENSP00000312678
ENSP00000394382
ENSP00000218104
ENSP00000365380
ENSP00000287295
ENSP00000358563
ENSP00000465734
ENSP00000368884
ENSP00000323421
ENSP00000253122
ENSP00000386331
ENSP00000316786
ENSP00000304845
ENSP00000341838
ENSP00000371336
ENSP00000496494
ENSP00000496686
ENSP00000495672
ENSP00000296271
ENSP00000267163
ENSP00000272190
ENSP00000230381
ENSP00000351276
ENSP00000340944
ENSP00000378394
ENSP00000237014
ENSP00000308938
ENSP00000308024
ENSP00000464317
ENSP00000233190
ENSP00000295600
ENSP00000355536
ENSP00000196061
ENSP00000301653
ENSP00000369317
ENSP00000333994
ENSP00000322421
ENSP00000261937
ENSP00000241453
ENSP00000356399
ENSP00000394933
ENSP00000345873
ENSP00000448220
ENSP00000372299
ENSP00000231790
ENSP00000225964
ENSP00000344456
ENSP00000262418
ENSP00000440045
ENSP00000356671
ENSP00000494600
ENSP00000367615
ENSP00000264657
ENSP00000355310
ENSP00000359297
ENSP00000295956
ENSP00000223051
ENSP00000204679
ENSP00000352035
ENSP00000341551
ENSP00000347942
ENSP00000368119
ENSP00000245407
ENSP00000361359
ENSP00000216862
ENSP00000345681
ENSP00000359539
ENSP00000304895
ENSP00000496973
ENSP00000494049
ENSP00000349415
ENSP00000343896
ENSP00000263440
ENSP00000354111
ENSP00000385478
ENSP00000361824
ENSP00000496731
ENSP00000496396
ENSP00000297268
ENSP00000369129
ENSP00000384247
ENSP00000471166
ENSP00000347507
ENSP00000257555
ENSP00000350283
ENSP00000369383
ENSP00000501699
ENSP00000440898
ENSP00000309572
ENSP00000496150
ENSP00000263967
ENSP00000483595
ENSP00000164139
ENSP00000497829
ENSP00000498499
ENSP00000222271
ENSP00000373952
ENSP00000279146
ENSP00000257430
ENSP00000442795
ENSP00000494017
ENSP00000499593
ENSP00000261448
ENSP00000350132
ENSP00000312624
ENSP00000496776
ENSP00000308495
ENSP00000275493
ENSP00000467141
ENSP00000297784
ENSP00000333938
ENSP00000494576
ENSP00000357283
ENSP00000219476
ENSP00000269321
ENSP00000498382
ENSP00000155840
ENSP00000389998
ENSP00000370737
ENSP00000493153
ENSP00000273588
ENSP00000403465
ENSP00000501493
ENSP00000368190
ENSP00000349685
ENSP00000328182
ENSP00000501952
ENSP00000078429
ENSP00000428056
ENSP00000406046
ENSP00000298552
ENSP00000393275
ENSP00000286298
ENSP00000272371
ENSP00000306923
ENSP00000167586
ENSP00000252252
ENSP00000482169
ENSP00000311997
ENSP00000361236
ENSP00000234420
ENSP00000265849
ENSP00000493468
ENSP00000400365
ENSP00000362441
ENSP00000496625
ENSP00000269980
ENSP00000332809
ENSP00000503163
ENSP00000354923
ENSP00000295550
ENSP00000283254
ENSP00000265436
ENSP00000383840
ENSP00000323074
ENSP00000285071
ENSP00000502262
ENSP00000039007
ENSP00000262410
ENSP00000369320
ENSP00000261405
ENSP00000389714
ENSP00000304408
ENSP00000299709
ENSP00000490491
ENSP00000265773
ENSP00000280700
ENSP00000252486
ENSP00000261740
ENSP00000495195
ENSP00000252250
ENSP00000407590
ENSP00000269216
ENSP00000346809
ENSP00000251810
ENSP00000369820
ENSP00000424874
ENSP00000373700
ENSP00000343745
ENSP00000361021
ENSP00000380911
ENSP00000324375
ENSP00000385747
ENSP00000395535
ENSP00000313318
ENSP00000323302
ENSP00000382563
ENSP00000262352
ENSP00000497572
ENSP00000332706
ENSP00000386485
ENSP00000371017
ENSP00000262367
ENSP00000490614
ENSP00000339004
ENSP00000301067
ENSP00000359423
ENSP00000395929
ENSP00000498113
ENSP00000302239
ENSP00000233072
ENSP00000387100
ENSP00000305941
ENSP00000268124
ENSP00000325527
ENSP00000480489
ENSP00000358994
ENSP00000255194
ENSP00000349588
ENSP00000233242
ENSP00000280904
ENSP00000300036
ENSP00000290378
ENSP00000264033
ENSP00000200639
ENSP00000284669
ENSP00000352011
ENSP00000355518
ENSP00000365775
ENSP00000046640
ENSP00000300452
ENSP00000477437
ENSP00000485244
ENSP00000501589
ENSP00000323511
ENSP00000202625
ENSP00000348573
ENSP00000298251
ENSP00000340596
ENSP00000295240
ENSP00000503400
ENSP00000346839
ENSP00000493906
ENSP00000286628
ENSP00000294304
ENSP00000307235
